ch1;ch2;ch3;ch4
Raiden Shogun;Kujou Sara;Sangonomiya Kokomi;Kaedehara Kazuha
Beidou;Lisa;Jean;Xianyun
Raiden Shogun;Kujou Sara;Sangonomiya Kokomi;Kaedehara Kazuha
Beidou;Lisa;Jean;Xianyun
Raiden Shogun;Kujou Sara;Sangonomiya Kokomi;Kaedehara Kazuha
Beidou;Lisa;Jean;Xianyun
Navia;Lisa;Jean;Furina
Raiden Shogun;Kujou Sara;Zhongli;Yelan
Navia;Lisa;Jean;Furina
Raiden Shogun;Kujou Sara;Zhongli;Yelan
Navia;Lisa;Jean;Furina
Raiden Shogun;Kujou Sara;Zhongli;Yelan
Hu Tao;Xingqiu;Yelan;Zhongli
Keqing;Nahida;Fischl;Kaedehara Kazuha
Hu Tao;Xingqiu;Yelan;Zhongli
Keqing;Nahida;Fischl;Kaedehara Kazuha
Hu Tao;Xingqiu;Yelan;Zhongli
Keqing;Nahida;Fischl;Kaedehara Kazuha
Raiden Shogun;Xiangling;Bennett;Chevreuse
Hu Tao;Xingqiu;Yelan;Zhongli
Raiden Shogun;Xiangling;Bennett;Chevreuse
Hu Tao;Xingqiu;Yelan;Zhongli
Raiden Shogun;Xiangling;Bennett;Chevreuse
Hu Tao;Xingqiu;Yelan;Zhongli
Yoimiya;Fischl;Beidou;Chevreuse
Nahida;Xingqiu;Dehya;Kuki Shinobu
Yoimiya;Fischl;Beidou;Chevreuse
Nahida;Xingqiu;Dehya;Kuki Shinobu
Yoimiya;Fischl;Beidou;Chevreuse
Nahida;Xingqiu;Dehya;Kuki Shinobu
Kamisato Ayaka;Rosaria;Venti;Mona
Yoimiya;Fischl;Xingqiu;Bennett
Lyney;Kaedehara Kazuha;Dehya;Bennett
Xinyan;Candace;Nahida;Kuki Shinobu
Kamisato Ayaka;Rosaria;Venti;Mona
Yoimiya;Fischl;Xingqiu;Bennett
Xiao;Faruzan;Furina;Xianyun
Kaedehara Kazuha;Bennett;Chongyun;Venti
Xiao;Faruzan;Furina;Xianyun
